Mode,Frequency_THz,Q_Factor,Wavelength_nm
1,70.66655672131027,-50.97727897165039,4245.289623819066
2,80.45163857133687,-72.14685717687426,3728.948289026935
3,87.26926005772535,-2002.6877594037976,3437.6365721625375
4,93.81524814917461,1112.6951251789233,3197.774412140053
5,99.56943478646251,2968.6569637135613,3012.972812825368
6,104.91883017575356,14974.476564834762,2859.353268593049
7,110.02174548364435,8653.059092161475,2726.7336896104553
8,114.95396591149378,-5005.998154544819,2609.7403218865734
9,119.79293313666714,47449.91999105613,2504.321349722204
10,124.55011888934972,-32691.108700109944,2408.6689171812027
11,129.25114675035175,-32120.500006820897,2321.0625788833363
12,133.87248358181458,-30841.164890730608,2240.9384809586995
13,138.42546391887882,52801.446903763666,2167.231313566761
14,142.89501467877514,-3692.009120664562,2099.4434317697746
15,147.2015447845931,40563.99169130203,2038.0220903184409
16,151.3670276985664,144347.55657254378,1981.9375762429752
17,155.30368225064916,-171521.25089732133,1931.6992079802797
18,158.95172562993525,123736.61961048965,1887.3654803751388
19,162.15516932670428,-1414173.519311909,1850.0797800381622
20,164.79408743261357,-497302.2795684026,1820.4536623480128
21,167.23091486259045,48630.85835200128,1793.9266806409728
22,169.7567917351794,-2401.6269426411754,1767.2341526576445
23,172.0571858408554,-2767.1969306718706,1743.6063395659949
24,203.46076744570527,96.52092114021842,1474.485738780361
25,218.845901804511,187.939254710638,1370.8275893051987
26,234.39960881789474,419.60183315846683,1279.8656171524171
27,243.11104517143946,939.9396745108417,1234.003991009306
28,249.54113396807102,23700.884295420914,1202.2066071014378
29,257.1712257926653,134.8816608661894,1166.5379712498
30,264.1304162015941,540.4659284420478,1135.8025490370976
31,266.657011310182,173.06582825788135,1125.040735010086
32,267.8309566238561,-159.32429570683612,1120.109504075447
33,268.9615191428054,886.3820778853836,1115.4011955171725
34,271.1169938194492,290.22421115540766,1106.5333669190265
35,273.60262447303825,343.77689106718884,1096.4807102190755
36,276.3892336641915,459.2873523622301,1085.4257816876298
37,278.71423786783316,-1368.1284303176485,1076.3712765268224
38,280.82934990504833,148.85782482549766,1068.2644107584676
39,281.612833875305,122.71447805733179,1065.2923585607487
40,284.34629391177396,-322.97826620670605,1055.051556582211
41,312.60395393457713,290.0305551105165,959.6807597090889
42,325.8900229757834,-1031.7327937840575,920.5559509328482
