Mode,Frequency_THz,Q_Factor,Wavelength_nm
1,85.91441159409862,1255.0860829125859,3491.84722834797
2,99.84118999414493,616.5094414679212,3004.771878396012
3,111.55040312498254,1798.6863711933306,2689.367242033864
4,122.57790139968495,12008.069291759113,2447.4232025053343
5,133.21822683593678,-81958.10166319899,2251.944100483046
6,143.45199916745548,-166237.89051370727,2091.2918728291943
7,152.91891106180057,91652.87655413266,1961.8240668661194
8,160.9155492749463,-47844.21723407982,1864.3319514598854
9,166.58612043220458,-323690.2692231603,1800.8703199381532
10,171.77374240293182,14952.096505192283,1746.4834601803473
11,214.0372117421503,161.88824392743817,1401.6254349332894
12,248.57418155580578,-2199.273732326506,1206.8831852219091
13,253.26272643970339,142.95551931251399,1184.5406713309778
14,267.51174898330925,467.99047731099273,1121.446071584384
15,269.88486216855466,174.34072489605623,1111.5851314870606
16,275.60689388907264,180.74041058845123,1088.5068793698072
17,281.12292785907084,2320.9313212050274,1067.1488173685798
