Mode,Frequency_THz,Q_Factor,Wavelength_nm
1,77.13509885319922,-104.880862360383,3889.2800354213505
2,85.40263779563138,290.6032678625081,3512.772061185047
3,93.0115222664902,-2635.9470481688427,3225.4068387404805
4,99.53367623875663,720.0981425525874,3014.055255834963
5,105.54312829056232,6394.421043388977,2842.439909248227
6,111.23621497726182,5296.807009745226,2696.963395071686
7,116.71375780444863,6292.347160235429,2570.391063088239
8,122.10414650512244,-30684.898452436166,2456.9190202514096
9,127.40768603056736,-8048.028909209525,2354.646013491091
10,132.61366180745512,48273.78570073998,2262.2103628778236
11,137.7372759005787,-15686.218003609094,2178.0596286552486
12,142.73846242476878,32930.532789295,2101.746052912101
13,147.5804903685471,174801.36172652376,2032.7890173750031
14,152.21756914039446,-77684.52073041056,1970.8631644439265
15,156.55749986594057,-90736.76691277394,1916.228863241228
16,160.47972305409573,-265396.86849643406,1869.3950506063231
17,163.79860788765365,-171136.78535254934,1831.5173973014732
18,166.62255398054964,-50918.66913123458,1800.4765431396518
19,169.4297899712123,-6257.572816304322,1770.6449382423998
20,172.0137266861304,-6642.380050196452,1744.0468605590022
21,173.7228981240508,-267.43435512261516,1726.8880685249571
22,209.80396208814744,180.90742667396475,1429.9062658976736
23,227.0740502679073,425.6436832561717,1321.1549256555427
24,244.27973485739682,1339.7836294319968,1228.1002358837952
25,247.98117719413344,303.2761447631167,1209.7692389174497
26,260.65078382204575,649.5460176050227,1150.965270853815
27,264.3918255715187,110.44154806479003,1134.6795588385132
28,267.5817555763228,1158.5810692024047,1121.152671092445
29,268.76189596116217,427.59108100890796,1116.2296609313694
30,270.79844067088425,627.3490296050564,1107.8350350052642
31,273.473619181228,296.08758322489734,1096.9979513862845
32,276.33639446503554,407.04384485075497,1085.633329553913
33,278.13609055998194,-1537.8288627439463,1078.608674609608
34,280.9040410398752,231.21546769790248,1067.9803640041407
35,283.6321386249501,79.69178467167166,1057.7080631778945
36,284.2081945722511,358.44205431311974,1055.564215702916
37,292.5383183476645,96.28701575284659,1025.5066812938596
38,314.28471734457855,-254.0758631750557,954.5484824547898
