Mode,Frequency_THz,Q_Factor,Wavelength_nm
1,72.51596934100176,-68.123484092133,4137.019786486876
2,85.95570091689505,2191.838722895394,3490.1698991443327
3,96.54746408511502,10789.082485340374,3107.2799564732613
4,105.6189251102945,13838.007710353826,2840.400048445101
5,114.12361575838028,78781.33402313634,2628.7284888970976
6,122.34156828760446,-10935.838287428314,2452.1510080265643
7,130.3850187828898,168140.29172473308,2300.8778370431046
8,138.22111792346834,-69050.33062076085,2170.4353466892594
9,145.74832934274696,-80721.01380357076,2058.34263317358
10,152.8048690126138,-495520.00764860073,1963.2882246391994
11,159.03807756117786,483955.4697797548,1886.340709095894
12,163.77386582204127,31259.802086306823,1831.7940929963986
13,167.4942049021133,1270376.4166446219,1791.1067441128816
14,171.8891961923636,12208.86133719045,1745.310389748206
15,189.20814634605463,59.132096307024526,1585.5554097090048
16,216.07439319977905,241.97634802426597,1388.410702246539
17,242.11360896286575,-2514.899394483693,1239.0877211946092
18,243.45428696463168,774.4597100991014,1232.2641911152014
19,256.9965088666361,166.29212976861436,1167.3310323280689
20,264.8993531707383,164.52199678237295,1132.5055965940314
21,267.91353085873993,958.86395721759,1119.7642725935257
22,269.875844399911,7218.394757331784,1111.6222745576667
23,274.79603659906513,132.55601589986614,1091.7188024720608
24,280.03726452184185,84.83242907041227,1071.2859965699354
25,283.4060280360274,181.79613903118292,1058.5519372293065
26,322.74499748824604,-1407.1171645359605,929.5264135300055
