Mode,Frequency_THz,Q_Factor,Wavelength_nm
1,69.94600018204348,-50.89874328983703,4289.022949406848
2,89.0628731183463,836.2479811311574,3368.4069410309894
3,102.70068007039525,12462.431765667938,2921.110160072628
4,114.80745469926394,-258769.83229526554,2613.070734699629
5,126.46144345361527,-57774.706565806766,2372.2645559556404
6,137.75420901204714,102371.20667237502,2177.7918958088885
7,148.38274863636812,-319389.3951495279,2021.798374521221
8,157.70826150595286,351980.7969556218,1902.2465731047082
9,164.24407642577154,279948.4893258391,1826.5498916521474
10,169.53325194160382,-36022.08929917008,1769.5643572231825
11,193.82761780336023,117.80464127325588,1547.7670488854305
12,232.20258979389087,1243.2027037351845,1291.9752543082654
13,245.044870185299,703.013700789484,1224.2655794962973
14,259.00711254399494,165.3733327197157,1158.2693504180972
15,266.36122033406383,284.9365865948619,1126.2900794032525
16,270.1056152869232,-652.9199475143192,1110.676650247797
17,308.3540786927702,-113.84792075383811,972.9075135695099
