Mode,Frequency_THz,Q_Factor,Wavelength_nm
1,74.63093993533396,-117.23118053231025,4019.7805395449036
2,82.91623759514071,3721.3094871637245,3618.1091750065298
3,90.36815388596656,-740.2227884028008,3319.753553653015
4,96.78318225142402,711.988241845563,3099.712088621533
5,102.54728171014382,5074.042460106637,2925.4797884157315
6,108.01244743757472,20106.860236457014,2777.457664528744
7,113.31131006688915,27666.47152956794,2647.5733077563577
8,118.4988996512609,14733.35453828611,2531.6690777964354
9,123.5874052716822,53130.48359185609,2427.4318191284133
10,128.61821069396436,39928.44883448852,2332.4846332516895
11,133.56959850926793,-31958.832763962087,2246.0200775342155
12,138.43690327401117,173757.42575647408,2167.052230330546
13,143.18645925732676,120361.22856827086,2095.170182683662
14,147.77904237785904,131447.8130070211,2030.0578158635262
15,152.17356341887998,117409.0811302142,1971.4331008613246
16,156.28056122102353,-231906.6691505403,1919.6245371535224
17,160.00300225428006,183688.0011704202,1874.9648179928138
18,163.0955656455343,155371.27204281898,1839.4123642331797
19,165.5421065216807,-73661.12721775699,1812.227754639027
20,168.1492915334052,25665.270778851656,1784.128837321927
21,170.79808351974353,-664.8646806782433,1756.459989583673
22,185.41289661886933,66.77669679788953,1618.0104268403368
23,201.92214398578997,160.5738004085421,1485.7211501335491
24,218.61563718290122,210.13279051617275,1372.2714617573758
25,235.1430840738661,814.2836915368827,1275.8189388455935
26,239.0668241832532,2386.0761263976046,1254.879262419278
27,250.18630926872717,339.8077039594851,1199.1063814677707
28,252.25571934764957,939.0315551265389,1189.2693683053863
29,260.0785060294892,133.5330028440971,1153.4978594731865
30,265.51889737908164,208.95523824622907,1129.863083047116
31,268.3736940714714,2541.64199471769,1117.8442843958696
32,270.39104566434776,397.459702970532,1109.5041970154869
33,273.04918836309776,129.8708109214823,1098.7031376964335
34,277.11859428402255,1469.2879699227763,1082.5690018206644
35,279.1093189971178,66.32363457664532,1074.8476657029782
36,282.95186078952895,1021.2748750026572,1060.25102348824
37,302.6841458292317,159.0145277804881,991.1321888965205
38,317.88287448060004,-1022.4037092579166,943.7438254268353
