Mode,Frequency_THz,Q_Factor,Wavelength_nm
1,85.1716322148984,702.4573504959587,3522.2995285926127
2,91.72954251723954,-2390.752262834865,3270.483987681704
3,97.33042760372956,18030.632917184328,3082.2837974309323
4,102.51902682414146,2522.1264851070755,2926.286068971493
5,107.48746558464494,-6712.111086272462,2791.0231055150707
6,112.26352026011686,-30036.457398451952,2672.283920056078
7,116.94074097481327,66396.22353686648,2565.40190783137
8,121.55432886217297,14676.576287803953,2468.0322190759784
9,126.10270523410843,66562.16369667853,2379.0131975602976
10,130.59735011515176,-31255.679150039607,2297.136961320277
11,135.0199333880662,-26195.254536165845,2221.8941490495185
12,139.37481294191315,-55438.12231267285,2152.4692565867704
13,143.6229847449287,1822278.380524583,2088.802154702421
14,147.75294602634378,-2859102.726456955,2030.4163677826846
15,151.71111163317875,36562.0112514744,1977.4425008852875
16,155.46162007245238,-216248.3859340583,1929.7367405549096
17,158.92213225977937,82691.36207152314,1887.7169324006431
18,161.95372497646093,149848.68412676526,1852.3809813179864
19,164.38025201387126,-214145.68061722006,1825.0367445274658
20,166.602136577056,-29638.592745788927,1800.6971949080946
21,169.06990083186005,2029.159795628682,1774.414005827979
22,180.16175729859535,54.30505219234062,1665.1702586514402
23,196.7374811384818,106.55694044572121,1524.8746617266722
24,211.53650376959897,197.7600928656552,1418.1949434446246
25,226.4998504570179,319.24947564694065,1324.5041857408642
26,238.23057677630015,4191.838656363397,1259.2841945796977
27,241.21750502015897,1942.1100151870987,1243.6908340252028
28,250.0531627442643,284.5265493133504,1199.74487308052
29,255.351675563428,887.9007421650845,1174.8503288183106
30,259.21502242787045,145.93307654486404,1157.3403315522673
31,265.11427157305917,190.14872251647586,1131.587515903787
32,268.6916833876264,-1743.3439011299565,1116.521346018763
33,270.85520687707816,-444.8289425987626,1107.6028534173558
34,271.8928560946564,679.2736356583434,1103.3758087985896
35,274.49708860088543,168.80201324030634,1092.9077664506506
36,277.1043994194176,63.2950611327848,1082.6244571668756
37,278.67705889106946,172.09603318809454,1076.5148778079554
38,285.78060886235477,131.03615757381587,1049.7563189967657
39,301.96034182175464,214.10389325666682,993.5079493885597
40,315.8935810564743,-953.3883804647157,949.6869135380344
41,327.93487739121286,-70.0378581188639,914.8157780183664
