Mode,Frequency_THz,Q_Factor,Wavelength_nm
1,81.21632651215756,90.66829412777602,3693.8385775807274
2,92.0398658048782,1801.6881224479853,3259.457164311725
3,100.90706050761607,1019.264766991758,2973.0327936503236
4,108.96131520391812,6601.619362436874,2753.270731346792
5,116.5585563720795,-14652.3167113483,2573.813620703543
6,123.9395989267945,-29017.68385482413,2420.5338939106655
7,131.17150487533144,-27418.532976661638,2287.0820936691034
8,138.22399315743874,-28875.83841979563,2170.3901988875155
9,145.04232228551297,369910.0619417761,2068.3618082827984
10,151.5069453165063,384928.77644944674,1980.1072444123508
11,157.41081997403654,259405.73766618458,1905.8410346219036
12,162.40038003682793,-265838.2253525743,1847.2863175071898
13,166.29133125807067,195686.30979274487,1804.0627718255762
14,170.04587411470305,1374106.0876360831,1764.2298089375427
15,173.04545168980977,22776.92085291605,1733.6485707683369
16,192.7440633706554,97.02322864055738,1556.4681721121892
17,217.06738407797,183.61444137798148,1382.0593143198373
18,240.6040401659157,865.3917361185235,1246.8618556576441
19,250.1401122532988,272.1123804336762,1199.3278378967532
20,263.03969384731346,414.59361058512053,1140.5122763492147
21,266.82062491270784,193.3907218889336,1124.3508634242462
22,267.8170846032873,901.3613025216298,1120.1675219651677
23,270.8681585169594,345.65336075022964,1107.5498930643655
24,275.1201211304045,247.7427874231235,1090.4327853861428
25,279.5305690177255,243.36722857170219,1073.2278800640818
26,287.4676743582719,122.9446817866045,1043.59559964335
